name,url,company number,companies house name,companies house address,incorporation date,company status,company type,digital growth score,digitisation score,reading ease,internal links,accessibility issues - minor,accessibility issues - moderate,accessibility issues - serious,lighthouse accessibility,lighthouse performance,lighthouse seo
Aberconwy House ,https://www.nationaltrust.org.uk/visit/wales/aberconwy-house,7692200,ABERCONWY LIMITED,"Talacre Beach Caravan Park Station Road, Talacre, Holywell, Clwyd, CH8 9RD",2011-07-04,Active,Private limited Company,7795.49,48,73.88,172,2,2,,0.86,0.3,0.3
Abergavenny Museum ,www.abergavennymuseum.org.uk ,,,,,,,,ERROR,,,,,,,,
Abertillery and District Museum,http://www.abertilleryanddistrictmuseum.org.uk/,3286610,ABERTILLERY & DISTRICT MUSEUM SOCIETY,"The Metropole, Market Street, Abertillery, Gwent, NP13 1AH",1996-12-02,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,2.85,5,70.19,0,,3,4,0.57,0.84,0.84
Aberystwyth University Ceramics Collection ,,,,,,,,,ERROR,,,,,,,,
"Aberystwyth University, School of Art Museum and Galleries ",http://museum.aber.ac.uk/,5373709,FRIENDS OF BRADFORD ART GALLERIES AND MUSEUMS,"Cartwright Hall, Lister Park, Bradford, West Yorkshire, BD9 4NS",2005-02-23,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,12.72,6,40.35,0,,2,2,0.64,0.8,0.8
Amgueddfa Torfaen Museum (Formerly Pontypool),https://www.torfaenmuseum.org.uk/,12390673,AMGUEDDFA CAE HEN MUSEUM,"Gelli 7 Llwyn Y Gibwst, Llansannan, Conwy, Wales, LL16 5HQ",2020-01-07,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,6.59,19,61.87,0,2,3,2,0.84,0.35,0.35
Andrew Logan Museum of Sculpture ,https://andrewloganmuseum.org/,2155701,ANDREW LOGAN MUSEUM OF SCULPTURE LIMITED,"Andrew Logan Museum Of Sculpture Aqueduct Road, Berriew, Welshpool, Powys, Wales, SY21 8AH",1987-08-19,Active,Private company limited by guarantee without share capital,29.95,-10,76.72,0,,3,2,,,
Barmouth Sailorsâ€™ Institute ,http://barsailinst.org.uk/,OE005420,BARMOUTH LIMITED,,2022-11-28,Registered,Overseas entity,2.29,15,62.07,0,1,3,3,0.82,0.72,0.72
Big Pit: National Coal Museum ,https://museum.wales/bigpit/,1702426,NATIONAL COAL MINING MUSEUM FOR ENGLAND TRUST LTD,"Caphouse Colliery, New Road, Overton Wakefield, West Yorkshire, WF4 4RH",1983-02-24,Active,Private company limited by guarantee without share capital,1708.47,59,64.78,87,1,2,1,0.98,0.69,0.69
Blaenavon Community Heritage,https://blaenavonmuseum.wixsite.com/website,10083063,HERITAGE ELECTRICS (BLAENAVON) LIMITED,"13 Sycamore Road, Blaenavon, Pontypool, Wales, NP4 9EB",2016-03-24,Active,Private limited Company,2,27,57.57,1,,1,2,0.96,0.2,0.2
Blaina Heritage Museum,https://www.blaenau-gwent.gov.uk/en/visitors/museums-archives/blaina-heritage-action-group-museum/,1402483,AMBERLEY MUSEUM & HERITAGE CENTRE,"Amberley Museum New Barn Road, Amberley, Arundel, West Sussex, England, BN18 9LT",1978-11-28,Active,Private Limited Company by guarantee without share capital use of 'Limited' exemption,482.81,44,64.37,131,1,4,1,0.98,0.41,0.41
